FileName,Coordinate,x,y,Point,Status,B_T,Thickness_nm,Rs_ohm,Rs_error,rho_ohmcm,rho_error,n_cm-3,n_error,mu_cm2V-1s-1,mu_error,RH_A,RH_B,RH_mean,RH_error,RH_difference_percent,SemiconductorType
"260526 (0,-4) p4.txt","{0, -4}",0,-4,4,OK,0.42,350,78.61809075,0.015966823,0.002751633,5.58839E-07,2.2573E+20,1.34229E+19,10.06236827,0.598354118,0.06558253,0.067319612,0.066451071,0.003951459,2.61407732,n-type
"260526 (0,-8) p1.txt","{0, -8}",0,-8,1,OK,0.42,350,303.1182369,0.363292169,0.010609138,1.27152E-05,4.55246E+19,3.15925E+19,12.94057389,8.980326695,0.38959413,0.269389892,0.329492011,0.228656126,36.48168485,n-type
"260526 (-1,0) p1.txt","{-1, 0}",-1,0,1,OK,0.42,350,383.9251688,0.319481504,0.013437381,1.11819E-05,4.09557E+19,2.53075E+19,11.35665992,7.017557033,0.378094252,0.354403821,0.366249036,0.226314003,6.468394168,n-type
"260526 (-1,-1) p1.txt","{-1, -1}",-1,-1,1,OK,0.42,350,180.4313768,3.171107714,0.006315098,0.000110989,1.43051E+20,2.16008E+19,6.91845432,1.05174269,0.105860941,0.103854507,0.104857724,0.015833573,1.913483038,n-type
"260526 (1,-1) p1.txt","{1, -1}",1,-1,1,OK,0.42,350,58.96527569,0.031122334,0.002063785,1.08928E-06,2.51523E+20,1.3177E+19,12.04033352,0.630812184,0.054971025,0.064302521,0.059636773,0.003124307,15.6472181,n-type
"260526 (-1,-1) p2.txt","{-1, -1}",-1,-1,2,OK,0.42,350,180.4313768,3.171107714,0.006315098,0.000110989,1.03495E+20,1.80868E+19,9.562681524,1.67960487,0.153792184,0.136076325,0.144934255,0.025328725,12.22337591,n-type
"260526 (1,-1) p2.txt","{1, -1}",1,-1,2,OK,0.42,350,58.90966095,0.034074816,0.002061838,1.19262E-06,2.40045E+20,6.24068E+19,12.6279676,3.283024964,0.055540859,0.069435902,0.06248838,0.016245718,22.23620301,n-type
"260526 (-1,-1) p3.txt","{-1, -1}",-1,-1,3,OK,0.42,350,180.4313768,3.171107714,0.006315098,0.000110989,9.45535E+19,2.73414E+19,10.46700008,3.032254905,0.168988504,0.148292136,0.15864032,0.045872918,13.04609575,n-type
"260526 (1,-1) p3.txt","{1, -1}",1,-1,3,OK,0.42,350,58.90966095,0.034074816,0.002061838,1.19262E-06,2.17342E+20,3.38658E+19,13.94705652,2.173224493,0.069655685,0.068375866,0.069015775,0.010753935,1.854385794,n-type
"260526 (-1,-1) p4.txt","{-1, -1}",-1,-1,4,OK,0.42,350,180.4313768,3.171107714,0.006315098,0.000110989,7.69905E+19,1.62518E+19,12.85472212,2.722878132,0.210965547,0.178692848,0.194829198,0.041126282,16.56461106,n-type
"260526 (1,-1) p4.txt","{1, -1}",1,-1,4,OK,0.42,350,58.90966095,0.034074816,0.002061838,1.19262E-06,2.29335E+20,1.30532E+19,13.21766938,0.752358416,0.061892751,0.068920184,0.065406467,0.003722787,10.74424904,n-type
"260526 (-2,-2) p1.txt","{-2, -2}",-2,-2,1,OK,0.42,350,67.84633495,0.011211773,0.002374622,3.92412E-07,1.56715E+20,1.73123E+19,16.7947547,1.855315997,0.089685681,0.101744028,0.095714854,0.010573605,12.5981976,n-type
"260526 (-2,-2) p2.txt","{-2, -2}",-2,-2,2,OK,0.42,350,67.88083064,0.015620969,0.002375829,5.46734E-07,2.05153E+20,2.65679E+19,12.82292038,1.660608368,0.043622508,0.102609814,0.073116161,0.009468757,80.67615424,n-type
"260526 (-2,-2) p3.txt","{-2, -2}",-2,-2,3,OK,0.42,350,67.88083064,0.015620969,0.002375829,5.46734E-07,1.89797E+20,2.34211E+19,13.86036925,1.71037808,0.075862256,0.082201111,0.079031684,0.009752541,8.020650275,n-type
"260526 (-2,-2) p4.txt","{-2, -2}",-2,-2,4,OK,0.42,350,67.88083064,0.015620969,0.002375829,5.46734E-07,1.61854E+20,1.2654E+19,16.25331829,1.270712476,0.088861347,0.096491162,0.092676255,0.007245558,8.232761992,n-type
"260526 (-2,-7) p1.txt","{-2, -7}",-2,-7,1,OK,0.42,350,66.22515542,0.010319096,0.00231788,3.61168E-07,1.42237E+20,4.79528E+18,18.95726252,0.639118247,0.102575034,0.108340172,0.105457603,0.003555321,5.466782965,n-type
"260526 (-2,-7) p2.txt","{-2, -7}",-2,-7,2,OK,0.42,350,66.19991999,0.010231292,0.002316997,3.58095E-07,1.4514E+20,3.8843E+18,18.5851539,0.497390844,0.098927314,0.107769084,0.103348199,0.002765842,8.555320624,n-type
"260526 (-2,-7) p3.txt","{-2, -7}",-2,-7,3,OK,0.42,350,66.19991999,0.010231292,0.002316997,3.58095E-07,1.45699E+20,7.06986E+18,18.51386924,0.898365029,0.098158532,0.107745068,0.1029518,0.004995597,9.311674362,n-type
"260526 (-2,-7) p4.txt","{-2, -7}",-2,-7,4,OK,0.42,350,66.19991999,0.010231292,0.002316997,3.58095E-07,1.42416E+20,6.01711E+18,18.94069816,0.800255207,0.106866593,0.103784021,0.105325307,0.004450024,2.926715057,n-type
"260526 (3,-2) p1.txt","{3, -2}",3,-2,1,OK,0.42,350,17.51161354,0.003359021,0.000612906,1.17566E-07,6.72288E+20,4.68446E+19,15.16806447,1.056905023,0.018786538,0.025837166,0.022311852,0.001554676,31.60037014,n-type
"260526 (3,-2) p2.txt","{3, -2}",3,-2,2,OK,0.42,350,17.51161354,0.003359021,0.000612906,1.17566E-07,5.43368E+20,4.96746E+19,18.76687889,1.715669856,0.030026248,0.025184991,0.02760562,0.002523703,17.5372158,n-type
"260526 (3,-2) p3.txt","{3, -2}",3,-2,3,OK,0.42,350,17.51161354,0.003359021,0.000612906,1.17566E-07,5.21521E+20,9.8461E+18,19.55302597,0.369171961,0.027011549,0.030512496,0.028762023,0.000543015,12.1721164,n-type
"260526 (3,-2) p4.txt","{3, -2}",3,-2,4,OK,0.42,350,17.51161354,0.003359021,0.000612906,1.17566E-07,5.31774E+20,7.22216E+18,19.17603207,0.260460647,0.030608892,0.025806056,0.028207474,0.000383093,17.02681884,n-type
"260526 (3,-5) p1.txt","{3, -5}",3,-5,1,OK,0.42,350,45.23222576,0.003281943,0.001583128,1.14868E-07,6.38908E+20,3.98556E+19,6.179106192,0.385458193,0.022201663,0.024753451,0.023477557,0.00146455,10.86904938,n-type
"260526 (3,-5) p2.txt","{3, -5}",3,-5,2,OK,0.42,350,45.23222576,0.003281943,0.001583128,1.14868E-07,5.87486E+20,3.5921E+19,6.719953542,0.410881983,0.026672434,0.024392586,0.02553251,0.001561148,8.929197175,n-type
"260526 (3,-5) p3.txt","{3, -5}",3,-5,3,OK,0.42,350,45.23222576,0.003281943,0.001583128,1.14868E-07,6.1331E+20,4.04078E+19,6.437003954,0.424100649,0.026837107,0.022077775,0.024457441,0.001611372,19.4596489,n-type
"260526 (3,-5) p4.txt","{3, -5}",3,-5,4,OK,0.42,350,45.23222576,0.003281943,0.001583128,1.14868E-07,6.36112E+20,3.73782E+19,6.206268329,0.364683104,0.021776857,0.025384662,0.02358076,0.001385615,15.29978456,n-type
"260526 (-3,-6) p1.txt","{-3, -6}",-3,-6,1,OK,0.42,350,68.8003758,0.016813346,0.002408013,5.88467E-07,8.18656E+19,1.81885E+18,31.7044072,0.704435717,0.176659008,0.189795213,0.183227111,0.004070851,7.169356619,n-type
"260526 (3,-6) p1.txt","{3, -6}",3,-6,1,OK,0.42,350,72.68896046,0.008873853,0.002544114,3.10585E-07,8.26392E+20,1.55928E+20,2.972744038,0.560914601,0.020291552,0.016010842,0.018151197,0.003424872,23.58362391,n-type
"260526 (-3,-6) p2.txt","{-3, -6}",-3,-6,2,OK,0.42,350,68.8003758,0.016813346,0.002408013,5.88467E-07,7.83219E+19,4.71192E+17,33.13889165,0.19953106,0.200894485,0.182140173,0.191517329,0.001152186,9.792488353,n-type
"260526 (3,-6) p2.txt","{3, -6}",3,-6,2,OK,0.42,350,72.68896046,0.008873853,0.002544114,3.10585E-07,7.90865E+20,1.64582E+20,3.106282885,0.646429411,0.017623485,0.02030965,0.018966568,0.003947015,14.16263219,n-type
"260526 (-3,-6) p3.txt","{-3, -6}",-3,-6,3,OK,0.42,350,68.86127205,0.009502381,0.002410145,3.32583E-07,8.11828E+19,2.98966E+18,31.94278533,1.176340352,0.180924726,0.188611574,0.18476815,0.006804313,4.160266903,n-type
"260526 (3,-6) p3.txt","{3, -6}",3,-6,3,OK,0.42,350,72.68896046,0.008873853,0.002544114,3.10585E-07,6.54641E+20,1.08848E+20,3.752668539,0.62396134,0.021908508,0.023918124,0.022913316,0.003809827,8.770515354,n-type
"260526 (-3,-6) p4.txt","{-3, -6}",-3,-6,4,OK,0.42,350,68.86127205,0.009502381,0.002410145,3.32583E-07,7.60808E+19,1.50978E+18,34.08486976,0.676409453,0.199117403,0.195200015,0.197158709,0.003912492,1.986920887,n-type
"260526 (3,-6) p4.txt","{3, -6}",3,-6,4,OK,0.42,350,72.68896046,0.008873853,0.002544114,3.10585E-07,6.72862E+20,1.04739E+20,3.651049816,0.56833032,0.022738606,0.021847084,0.022292845,0.003470152,3.999138563,n-type
"260526 (-3,-7) p1.txt","{-3, -7}",-3,-7,1,OK,0.42,350,88.04656556,0.012263094,0.00308163,4.29208E-07,8.17941E+19,9.15388E+17,24.79576428,0.277519959,0.183045149,0.183729408,0.183387278,0.002052354,0.373122397,n-type
"260526 (3,-7) p1.txt","{3, -7}",3,-7,1,OK,0.42,350,99.09215551,0.017787453,0.003468225,6.22561E-07,4.49867E+20,8.79554E+19,4.005795441,0.783190896,0.036023737,0.030662671,0.033343204,0.006519075,16.07843769,n-type
"260526 (-3,-7) p2.txt","{-3, -7}",-3,-7,2,OK,0.42,350,88.04656556,0.012263094,0.00308163,4.29208E-07,7.61457E+19,3.56379E+18,26.6350807,1.246588402,0.201987092,0.191994308,0.1969907,0.009219617,5.07271863,n-type
"260526 (3,-7) p2.txt","{3, -7}",3,-7,2,OK,0.42,350,99.09215551,0.017787453,0.003468225,6.22561E-07,1.18787E+21,8.00261E+20,1.517062481,1.022034867,0.00866914,0.016586131,0.012627635,0.008507153,62.6957519,n-type
"260526 (-3,-7) p3.txt","{-3, -7}",-3,-7,3,OK,0.42,350,88.04656556,0.012263094,0.00308163,4.29208E-07,9.70705E+19,2.06239E+19,20.89354209,4.439108335,0.150003991,0.159049586,0.154526788,0.032831245,5.853739564,n-type
"260526 (3,-7) p3.txt","{3, -7}",3,-7,3,OK,0.42,350,99.09215551,0.017787453,0.003468225,6.22561E-07,1.02E+21,8.09365E+20,1.759855816,1.390996659,0.014937307,0.014359861,0.014648584,0.011578296,3.941988077,n-type
"260526 (-3,-7) p4.txt","{-3, -7}",-3,-7,4,OK,0.42,350,88.04656556,0.012263094,0.00308163,4.29208E-07,7.30454E+19,9.3376E+17,27.76557483,0.354956092,0.219682504,0.191020965,0.205351734,0.002625068,13.95729126,n-type
"260526 (3,-7) p4.txt","{3, -7}",3,-7,4,OK,0.42,350,99.09215551,0.017787453,0.003468225,6.22561E-07,4.78101E+20,1.24396E+20,3.769232125,0.980705674,0.037439519,0.025308706,0.031374112,0.008163138,38.66504082,n-type
"260526 (-4,-4) p1.txt","{-4, -4}",-4,-4,1,OK,0.42,350,120.4958604,0.029809349,0.004217355,1.04333E-06,4.28817E+19,8.93286E+17,34.55950032,0.719972747,0.363489434,0.336109056,0.349799245,0.0072868,7.827454766,n-type
"260526 (-4,-4) p2.txt","{-4, -4}",-4,-4,2,OK,0.42,350,120.4958604,0.029809349,0.004217355,1.04333E-06,4.33673E+19,1.22611E+18,34.17253053,0.966182819,0.351715367,0.340049576,0.345882471,0.009778992,3.37276151,n-type
"260526 (-4,-4) p3.txt","{-4, -4}",-4,-4,3,OK,0.42,350,120.4958604,0.029809349,0.004217355,1.04333E-06,4.27273E+19,4.83115E+17,34.68441173,0.392268343,0.349110339,0.353016771,0.351063555,0.003969454,1.11274208,n-type
"260526 (-4,-4) p4.txt","{-4, -4}",-4,-4,4,OK,0.42,350,120.4958604,0.029809349,0.004217355,1.04333E-06,4.24727E+19,4.22959E+17,34.89236438,0.347578449,0.36142742,0.344909338,0.353168379,0.003516983,4.677112218,n-type
"260526 (4,-6) p1.txt","{4, -6}",4,-6,1,OK,0.42,350,49.98159621,0.0018291,0.001749356,6.40185E-08,1.14643E+21,6.49601E+19,3.116409615,0.176585057,0.011258021,0.014910184,0.013084103,0.000741384,27.91298227,n-type
"260526 (4,-6) p2.txt","{4, -6}",4,-6,2,OK,0.42,350,49.98159621,0.0018291,0.001749356,6.40185E-08,8.46306E+20,4.94938E+19,4.221576142,0.246886984,0.015742319,0.019705868,0.017724094,0.001036543,22.36249157,n-type
"260526 (4,-6) p3.txt","{4, -6}",4,-6,3,OK,0.42,350,49.99580025,0.002523808,0.001749853,8.83333E-08,9.60145E+20,3.08694E+19,3.719988386,0.119600622,0.01448547,0.016759807,0.015622639,0.00050228,14.5579578,n-type
"260526 (4,-6) p4.txt","{4, -6}",4,-6,4,OK,0.42,350,49.98159621,0.0018291,0.001749356,6.40185E-08,8.42321E+20,8.86454E+19,4.241545626,0.44637786,0.018770577,0.016845293,0.017807935,0.001874097,10.81138296,n-type
"260526 (4,-7) p1.txt","{4, -7}",4,-7,1,OK,0.42,350,79.99405518,0.007821204,0.002799792,2.73742E-07,8.50845E+20,7.89213E+19,2.623636657,0.243359002,0.013721654,0.021537402,0.017629528,0.00163525,44.33328033,n-type
"260526 (4,-7) p2.txt","{4, -7}",4,-7,2,OK,0.42,350,79.99405518,0.007821204,0.002799792,2.73742E-07,1.10874E+21,1.82348E+20,2.013370091,0.331127139,0.008827268,0.018230415,0.013528842,0.002225009,69.50445336,n-type
"260526 (4,-7) p3.txt","{4, -7}",4,-7,3,OK,0.42,350,79.99405518,0.007821204,0.002799792,2.73742E-07,5.36914E+20,6.74277E+19,4.157661768,0.522134932,0.020593281,0.035281541,0.027937411,0.003508485,52.57559487,n-type
"260526 (4,-7) p4.txt","{4, -7}",4,-7,4,OK,0.42,350,79.99405518,0.007821204,0.002799792,2.73742E-07,5.30446E+20,9.55333E+19,4.208361357,0.75792554,0.035233717,0.021322457,0.028278087,0.00509288,49.1944885,n-type
"260526 (-6,-2) p1.txt","{-6, -2}",-6,-2,1,OK,0.42,350,220.7910197,0.093539892,0.007727686,3.2739E-06,4.16322E+19,2.75574E+18,19.42679846,1.285936606,0.372501843,0.348094281,0.360298062,0.023849065,6.774269587,n-type
"260526 (-6,-2) p2.txt","{-6, -2}",-6,-2,2,OK,0.42,350,220.7910197,0.093539892,0.007727686,3.2739E-06,5.27491E+19,7.56126E+18,15.33259857,2.197846026,0.285865248,0.282865165,0.284365206,0.040762054,1.055010535,n-type
"260526 (-6,-2) p3.txt","{-6, -2}",-6,-2,3,OK,0.42,350,220.7910197,0.093539892,0.007727686,3.2739E-06,4.00507E+19,3.08944E+18,20.19389878,1.557743965,0.354816447,0.394233646,0.374525046,0.028890178,10.52458291,n-type
"260526 (-6,-2) p4.txt","{-6, -2}",-6,-2,4,OK,0.42,350,220.7910197,0.093539892,0.007727686,3.2739E-06,3.44672E+19,3.20621E+18,23.46522591,2.182810238,0.442281914,0.42811116,0.435196537,0.040482952,3.256173503,n-type
"260526 (-6,-3) p1.txt","{-6, -3}",-6,-3,1,OK,0.42,350,215.990827,0.130317927,0.007559679,4.56113E-06,3.49888E+19,4.17795E+18,23.629111,2.821544807,0.403105199,0.454311567,0.428708383,0.051191281,11.9443358,n-type
"260526 (-6,-3) p2.txt","{-6, -3}",-6,-3,2,OK,0.42,350,215.990827,0.130317927,0.007559679,4.56113E-06,3.93084E+19,5.94535E+18,21.03251229,3.181168358,0.302090437,0.461104957,0.381597697,0.057716208,41.67072332,n-type
"260526 (-6,-3) p3.txt","{-6, -3}",-6,-3,3,OK,0.42,350,215.990827,0.130317927,0.007559679,4.56113E-06,3.48825E+19,4.11281E+18,23.70114431,2.794515397,0.483056573,0.376974027,0.4300153,0.05070087,24.66948164,n-type
"260526 (-6,-3) p4.txt","{-6, -3}",-6,-3,4,OK,0.42,350,215.990827,0.130317927,0.007559679,4.56113E-06,3.26198E+19,2.87963E+18,25.34514116,2.237481593,0.495280286,0.424405138,0.459842712,0.040594194,15.41291085,n-type
"260526 (-6,-6) p1.txt","{-6, -6}",-6,-6,1,OK,0.42,350,253.8276329,0.348627325,0.008883967,1.2202E-05,3.03531E+19,8.64403E+18,23.17768047,6.600676258,0.422358684,0.566008126,0.494183405,0.140734822,29.06804249,n-type
"260526 (-6,-6) p2.txt","{-6, -6}",-6,-6,2,OK,0.42,350,253.8276329,0.348627325,0.008883967,1.2202E-05,3.02771E+19,9.9624E+18,23.2358378,7.645597901,0.410294973,0.580551843,0.495423408,0.163014357,34.36593173,n-type
"260526 (-6,-6) p3.txt","{-6, -6}",-6,-6,3,OK,0.42,350,253.8276329,0.348627325,0.008883967,1.2202E-05,5.07458E+19,1.92841E+19,13.86349844,5.268364271,0.248838841,0.34234291,0.295590875,0.112328807,31.63293463,n-type
"260526 (7,0) p1.txt","{7, 0}",7,0,1,OK,0.42,350,70.89494445,0.005224668,0.002481323,1.82863E-07,7.08957E+20,5.68404E+19,3.552848667,0.284848306,0.018420099,0.023895574,0.021157837,0.001696321,25.87918025,n-type
"260526 (7,0) p2.txt","{7, 0}",7,0,2,OK,0.42,350,70.89494445,0.005224668,0.002481323,1.82863E-07,8.98163E+20,1.52752E+20,2.804410603,0.476949946,0.016906558,0.016494956,0.016700757,0.00284032,2.464567319,n-type
"260526 (7,0) p3.txt","{7, 0}",7,0,3,OK,0.42,350,70.89494445,0.005224668,0.002481323,1.82863E-07,7.18144E+20,5.47586E+19,3.507397641,0.267439482,0.022370809,0.019403527,0.020887168,0.001592648,14.20624757,n-type
"260526 (7,0) p4.txt","{7, 0}",7,0,4,OK,0.42,350,70.89494445,0.005224668,0.002481323,1.82863E-07,7.20591E+20,7.13472E+19,3.495487676,0.346095229,0.023304998,0.018327486,0.020816242,0.002061057,23.9116789,n-type
"260526 (7,1) p1.txt","{7, 1}",7,1,1,OK,0.42,350,85.17828186,0.008948681,0.00298124,3.13204E-07,6.5536E+20,9.72605E+19,3.198918282,0.474744259,0.022806732,0.022969633,0.022888182,0.003396783,0.711721288,n-type
"260526 (7,1) p2.txt","{7, 1}",7,1,2,OK,0.42,350,85.17828186,0.008948681,0.00298124,3.13204E-07,6.43474E+20,9.34488E+19,3.258009369,0.473146183,0.022903388,0.023718568,0.023310978,0.003385349,3.496978371,n-type
"260526 (7,1) p3.txt","{7, 1}",7,1,3,OK,0.42,350,85.17828186,0.008948681,0.00298124,3.13204E-07,7.67462E+20,1.34937E+20,2.73165736,0.480286129,0.019446157,0.019643727,0.019544942,0.003436435,1.010854295,n-type
"260526 (7,1) p4.txt","{7, 1}",7,1,4,OK,0.42,350,85.17828186,0.008948681,0.00298124,3.13204E-07,6.56024E+20,1.08497E+20,3.195681976,0.528520732,0.021821872,0.023908181,0.022865027,0.003781552,9.124453687,n-type
"260526 (-7,-2) p1.txt","{-7, -2}",-7,-2,1,OK,0.42,350,369.6432897,0.437487496,0.012937515,1.53121E-05,3.72423E+18,3.68526E+18,129.7156914,128.3583819,3.791768751,4.263585112,4.027676931,3.98552957,11.71435468,n-type
"260526 (-7,-2) p2.txt","{-7, -2}",-7,-2,2,OK,0.42,350,368.8238969,0.277969051,0.012908836,9.72892E-06,2.42508E+19,3.36135E+18,19.96492678,2.767338851,0.669533635,0.567541437,0.618537536,0.085734231,16.48924965,n-type
"260526 (-7,-2) p3.txt","{-7, -2}",-7,-2,3,OK,0.42,350,369.9547926,0.151068248,0.012948418,5.28739E-06,2.35312E+19,4.57528E+18,20.5125656,3.988369414,0.75069151,0.524213778,0.637452644,0.123943103,35.52855795,n-type
"260526 (-7,-2) p4.txt","{-7, -2}",-7,-2,4,OK,0.42,350,369.9547926,0.151068248,0.012948418,5.28739E-06,3.21438E+19,6.9505E+18,15.01642631,3.2470336,0.47673588,0.456571132,0.466653506,0.100905294,4.321139269,n-type
"260526 (-7,-3) p1.txt","{-7, -3}",-7,-3,1,OK,0.42,350,300.7255218,0.222782315,0.010525393,7.79738E-06,2.71203E+19,5.22187E+18,21.8951318,4.215822546,0.515148114,0.591035275,0.553091695,0.106494868,13.720539,n-type
"260526 (7,-3) p1.txt","{7, -3}",7,-3,1,OK,0.42,350,38.55153883,0.115277182,0.001349304,4.0347E-06,1.03946E+21,4.29232E+21,4.456196971,18.40137783,0.01634349,0.012517776,0.014430633,0.059589705,26.51105578,n-type
"260526 (-7,-3) p2.txt","{-7, -3}",-7,-3,2,OK,0.42,350,300.7255218,0.222782315,0.010525393,7.79738E-06,2.59495E+19,3.69868E+18,22.88301152,3.261647937,0.609859161,0.546233776,0.578046469,0.082391192,11.00696704,n-type
"260526 (7,-3) p2.txt","{7, -3}",7,-3,2,OK,0.42,350,38.41116717,0.001625236,0.001344391,5.68833E-08,1.00147E+21,3.36668E+19,4.642118896,0.15605587,0.014519017,0.01543693,0.014977973,0.00050352,6.1284178,n-type
"260526 (-7,-3) p3.txt","{-7, -3}",-7,-3,3,OK,0.42,350,300.7255218,0.222782315,0.010525393,7.79738E-06,2.76659E+19,4.71071E+18,21.46335056,3.654633245,0.577391356,0.50697763,0.542184493,0.092318611,12.98704155,n-type
"260526 (7,-3) p3.txt","{7, -3}",7,-3,3,OK,0.42,350,38.41116717,0.001625236,0.001344391,5.68833E-08,1.09588E+21,3.27266E+19,4.242188026,0.126685344,0.013156108,0.014219054,0.013687581,0.000408755,7.765764306,n-type
"260526 (-7,-3) p4.txt","{-7, -3}",-7,-3,4,OK,0.42,350,300.7255218,0.222782315,0.010525393,7.79738E-06,2.24404E+19,5.95737E+18,26.4613095,7.024849914,0.607238239,0.729637066,0.668437653,0.177453648,18.31118078,n-type
"260526 (7,-3) p4.txt","{7, -3}",7,-3,4,OK,0.42,350,38.41116717,0.001625236,0.001344391,5.68833E-08,1.00147E+21,3.36668E+19,4.642118896,0.15605587,0.014519017,0.01543693,0.014977973,0.00050352,6.1284178,n-type
"260526 (-7,-7) p1.txt","{-7, -7}",-7,-7,1,OK,0.42,350,370.2300218,0.274665387,0.012958051,9.61329E-06,1.78616E+19,2.93541E+18,27.003481,4.4378487,0.934521104,0.745058788,0.839789946,0.138012679,22.56067926,n-type
"260526 (-7,-7) p2.txt","{-7, -7}",-7,-7,2,OK,0.42,350,370.2300218,0.274665387,0.012958051,9.61329E-06,1.88433E+19,4.09023E+18,25.59660289,5.556163231,0.71573018,0.876343802,0.796036991,0.172791899,20.17665306,n-type
"260526 (-7,-7) p3.txt","{-7, -7}",-7,-7,3,OK,0.42,350,370.2300218,0.274665387,0.012958051,9.61329E-06,2.19129E+19,2.16914E+18,22.0110672,2.178923569,0.693067835,0.675990691,0.684529263,0.067761142,2.494728178,n-type
"260526 (-7,-7) p4.txt","{-7, -7}",-7,-7,4,OK,0.42,350,370.2300218,0.274665387,0.012958051,9.61329E-06,1.72181E+19,1.98358E+18,28.01265293,3.227210628,0.864405025,0.877943993,0.871174509,0.100361981,1.554105182,n-type
